requirement_id	source_line	clause_ordinal_on_line	family	normative_summary
RW-T15-S1-001	59	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Rendering owns Evaluation, RenderDSL, RenderDocument, and Renderer Command.
RW-T15-S1-002	59	2	SECURITY_FAULT	Only the authoritative server Evaluator and sealer may produce an Engine-admissible RenderDocument.
RW-T15-S1-003	59	3	SECURITY_FAULT	Web and client feedback is non-authoritative and cannot submit documents or digests, bypass admission, or call Engine.
RW-T15-S1-004	60	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	No formal MaterializedScene, MaterializedTree, or second static language exists between DesignDSL and RenderDocument.
RW-T15-S1-005	60	2	SECURITY_FAULT	A request builder is private, transient, nonpersistent, noncacheable, nonpublic, and identityless.
RW-T15-S1-006	60	3	WIRE_CANONICAL_DIGEST	Only one immutable RenderDocument is sealed after complete success.
RW-T15-S1-007	61	1	SECURITY_FAULT	RenderDocument is a request-scoped Renderer-only handoff, not an Artifact, Workspace item, audit object, or download.
RW-T15-S1-008	61	2	SECURITY_FAULT	Public Render or Preview returns only a RenderOutput description or structured problem.
RW-T15-S1-009	61	3	WIRE_CANONICAL_DIGEST	Future static-document export requires a new contract without leases and internal identities.
RW-T15-S1-010	62	1	ASSET_CAPABILITY_CONCURRENCY	v1 never caches or reuses RenderDocument across requests or caches RenderOutput across requests.
RW-T15-S1-011	62	2	RENDERER_OUTPUT	Every successful Evaluation enters Engine.
RW-T15-S1-012	62	3	SECURITY_FAULT	A future cache cannot skip current admission, capability demand, or Asset current selection.
RW-T15-S2-001	66	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Evaluation stages are a strict total order and any failed stage blocks every later stage.
RW-T15-S2-002	68	1	SECURITY_FAULT	Stage one authenticates and admits scope, strict request envelope, and outer capacity.
RW-T15-S2-003	69	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Stage two resolves root current and integrity-gates every candidate before reading TemplateRefs and freezing closure.
RW-T15-S2-004	70	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Stage three revalidates every unique snapshot semantics, scope, DAG, dependencies, profiles, and lowering edge.
RW-T15-S2-005	71	1	DESIGN_INPUT_EXPRESSION	Stage four validates RootDocument and constructs closed typed context and root Customs.
RW-T15-S2-006	72	1	ASSET_CAPABILITY_CONCURRENCY	Stage five admits authored then external-public Asset atoms in canonical occurrence order.
RW-T15-S2-007	73	1	ASSET_CAPABILITY_CONCURRENCY	Stage six gathers closure capability contracts and linearizes required CapabilityState.
RW-T15-S2-008	74	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Stage seven creates the root frame, lazily materializes, binds, and expands, and serially resolves Assets at consumers.
RW-T15-S2-009	75	1	WIRE_CANONICAL_DIGEST	Stage eight seals the tree and manifest and forms capability, asset, result, and document digests.
RW-T15-S2-010	76	1	RENDERER_OUTPUT	Stage nine constructs the Renderer Command and invokes Engine.
RW-T15-S2-011	78	1	ASSET_CAPABILITY_CONCURRENCY	Any root or child current drift discards the entire closure attempt and retries from the root only.
RW-T15-S2-012	78	2	SECURITY_FAULT	Closure cannot patch-read a child or mix temporal snapshots.
RW-T15-S2-013	78	3	SECURITY_FAULT	Frozen retry exhaustion returns TEMPLATE_CLOSURE_UNSTABLE.
RW-T15-S2-014	78	4	ASSET_CAPABILITY_CONCURRENCY	After freeze, Template current is never reread; Asset current remains per-occurrence linearized.
RW-T15-S2-015	79	1	SECURITY_FAULT	Every Render distrusts readiness and current report and rechecks each snapshot under its permanent exact Profile.
RW-T15-S2-016	79	2	SECURITY_FAULT	Lost support for an admitted Profile is an internal compatibility breach, not an automatic INVALID mutation.
RW-T15-S2-017	80	1	WIRE_CANONICAL_DIGEST	Persisted DesignDSL is re-canonicalized and contentHash-checked before snapshot creation.
RW-T15-S2-018	80	2	SECURITY_FAULT	A hash mismatch creates no snapshot, historical rewrite, or Evaluator payload.
RW-T15-S3-001	84	1	SECURITY_FAULT	Closure, dependency, input, and Asset admission collect bounded problems in their own fixed canonical order.
RW-T15-S3-002	84	2	SECURITY_FAULT	At the shared cap append PROBLEM_LIMIT_REACHED, stop the current stage, and never enter the next.
RW-T15-S3-003	84	3	SECURITY_FAULT	Unsafe malformed, hash, or Profile failures stop after one problem.
RW-T15-S3-004	85	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	After state creation, the first demanded ValueSource, Definition, Binding, Capability, property, Asset, or capacity error terminates Evaluation.
RW-T15-S3-005	85	2	SECURITY_FAULT	A runtime error triggers no later Capability, Resolver, or lowering and no partial document.
RW-T15-S3-006	86	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Product semantics are one deterministic serial trace.
RW-T15-S3-007	86	2	ASSET_CAPABILITY_CONCURRENCY	Parallel preparation is allowed only when demand, budget, error, selection, manifest, and tree observables remain serial-equivalent.
RW-T15-S3-008	86	3	SECURITY_FAULT	Thread completion order has no semantic effect.
RW-T15-S3-009	87	1	DESIGN_INPUT_EXPRESSION	A Definition lazily memoizes success or failure within its exact lexical frame.
RW-T15-S3-010	87	2	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	One logical position is evaluated once.
RW-T15-S3-011	87	3	SECURITY_FAULT	A runtime failure affects the request only, not readiness, revision, or projection.
RW-T15-S4-001	91	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Ordinary Node consumer order is render, placement, visible, opacity, transform, kind properties, and children DFS.
RW-T15-S4-002	91	2	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Canvas order is root geometry and bleed, background, and children DFS.
RW-T15-S4-003	91	3	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Composite, Run, Point, Command, and Track values consume in catalog order.
RW-T15-S4-004	91	4	SECURITY_FAULT	JSON member, binding array, or bindingId order cannot change runtime order.
RW-T15-S4-005	92	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	Repeat, Conditional, and TemplateUse use their frozen specialized orders.
RW-T15-S4-006	92	2	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	render:false, false Conditional, zero Repeat, and SKIP prune before later binding, descendant, capability, and Asset work.
RW-T15-S4-007	92	3	SECURITY_FAULT	visible:false and opacity:0 do not prune and retain evaluation, resource, and layout failures.
RW-T15-S4-008	93	1	DESIGN_INPUT_EXPRESSION	Evaluator builds the complete typed static property tree and expands semantic defaults.
RW-T15-S4-009	93	2	DESIGN_INPUT_EXPRESSION	Evaluator preserves proof of author-materialized leaves.
RW-T15-S4-010	93	3	DESIGN_INPUT_EXPRESSION	Binding overlays only existing author-materialized targets allowed by Policy.
RW-T15-S4-011	93	4	SECURITY_FAULT	Default expansion cannot create a bindable target.
RW-T15-S4-012	93	5	DESIGN_INPUT_EXPRESSION	Post-overlay revalidates leaf, composite, placement, and Node aggregate.
RW-T15-S4-013	93	6	SECURITY_FAULT	ABSENT, error, type, or validation failure never falls back to baseline.
RW-T15-S4-014	94	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	A Node resolves Assets only after all concrete properties pass post-binding validation.
RW-T15-S4-015	94	2	ASSET_CAPABILITY_CONCURRENCY	Asset occurrences resolve serially in property and Run order before child DFS.
RW-T15-S4-016	94	3	SECURITY_FAULT	A Node validation failure signs no Asset lease.
RW-T15-S4-017	95	1	CLOSURE_REPEAT_COMPOSITION_EVALUATOR	True Conditional lowers to an appearance-free frame; Repeat containers and items lower to stack or grid and PACK placement.
RW-T15-S4-018	95	2	SECURITY_FAULT	Synthetic role stays sidecar-only and RenderDocument has no synthetic marker.
